               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,             0.10041,             0.14458,            0.022989,             0.46047,             0.34554,              0.3458,             0.18748,            0.099451,             0.20721,            0.028816,           0.0039115,           0.0039115,           0.0039115
                 125,              0.1003,             0.14421,            0.023016,             0.45857,             0.34738,             0.34528,             0.18769,            0.099443,             0.20743,            0.028848,            0.003862,            0.003862,            0.003862
                 126,             0.10039,               0.144,            0.022902,              0.4554,             0.34792,             0.34576,             0.18796,            0.099434,             0.20742,            0.028845,           0.0038125,           0.0038125,           0.0038125
                 127,             0.10055,             0.14499,            0.022837,             0.44908,             0.35106,             0.34617,             0.18797,            0.099425,             0.20753,            0.028862,            0.003763,            0.003763,            0.003763
                 128,             0.10063,             0.14575,            0.022762,             0.44897,             0.35077,             0.34644,             0.18819,            0.099416,             0.20743,            0.028871,           0.0037135,           0.0037135,           0.0037135
                 129,             0.10069,             0.14642,            0.023018,             0.44958,             0.35116,             0.34681,             0.18869,            0.099414,             0.20757,            0.028845,            0.003664,            0.003664,            0.003664
                 130,             0.10015,             0.14438,            0.022906,             0.45585,             0.35018,              0.3469,             0.18882,             0.09941,             0.20756,             0.02886,           0.0036145,           0.0036145,           0.0036145
                 131,             0.10056,             0.14452,            0.022841,              0.4539,             0.35163,             0.34718,             0.18905,            0.099405,             0.20764,            0.028865,            0.003565,            0.003565,            0.003565
                 132,             0.10044,             0.14349,            0.022642,             0.45655,             0.35155,             0.34745,             0.18916,            0.099398,             0.20762,            0.028838,           0.0035155,           0.0035155,           0.0035155
                 133,             0.10002,             0.14348,            0.022672,             0.45574,             0.35151,              0.3478,             0.18923,            0.099391,             0.20769,            0.028831,            0.003466,            0.003466,            0.003466
                 134,             0.10007,             0.14373,              0.0227,              0.4512,             0.35467,              0.3482,             0.18955,            0.099389,             0.20781,            0.028828,           0.0034165,           0.0034165,           0.0034165
                 135,             0.10016,             0.14374,             0.02278,              0.4529,             0.35304,             0.34797,             0.18966,             0.09938,             0.20785,            0.028839,            0.003367,            0.003367,            0.003367
                 136,             0.10019,             0.14491,            0.022663,             0.45717,             0.35065,             0.34826,             0.18994,            0.099369,             0.20783,            0.028821,           0.0033175,           0.0033175,           0.0033175
                 137,            0.099834,             0.14207,            0.022632,             0.45562,             0.35313,             0.34835,             0.18967,            0.099367,              0.2079,            0.028818,            0.003268,            0.003268,            0.003268
                 138,             0.10062,             0.14406,            0.022514,             0.45714,             0.35237,             0.34793,             0.18977,            0.099364,              0.2079,            0.028831,           0.0032185,           0.0032185,           0.0032185
                 139,              0.1002,             0.14405,            0.022674,             0.45815,             0.35304,             0.34822,             0.18965,            0.099369,             0.20799,            0.028822,            0.003169,            0.003169,            0.003169
                 140,            0.099929,             0.14177,            0.022473,             0.45884,             0.35366,              0.3482,             0.18963,            0.099366,             0.20794,            0.028828,           0.0031195,           0.0031195,           0.0031195
                 141,            0.099901,             0.14348,            0.022601,             0.46158,             0.35266,             0.34887,             0.18985,            0.099358,             0.20792,            0.028822,             0.00307,             0.00307,             0.00307
                 142,            0.099975,              0.1433,             0.02255,              0.4608,             0.35362,             0.34889,              0.1898,            0.099352,             0.20797,            0.028827,           0.0030205,           0.0030205,           0.0030205
                 143,            0.099792,             0.14411,            0.022539,             0.46207,             0.35324,             0.34878,             0.18983,            0.099345,             0.20801,            0.028822,            0.002971,            0.002971,            0.002971
                 144,             0.10009,             0.14286,            0.022315,              0.4623,             0.35506,             0.34917,             0.18987,            0.099342,             0.20802,            0.028814,           0.0029215,           0.0029215,           0.0029215
                 145,             0.10006,             0.14499,            0.022219,             0.46161,             0.35423,             0.34953,             0.19017,            0.099341,              0.2081,            0.028812,            0.002872,            0.002872,            0.002872
                 146,            0.099555,             0.14319,            0.022425,             0.46306,             0.35543,             0.35016,              0.1903,            0.099335,               0.208,            0.028811,           0.0028225,           0.0028225,           0.0028225
                 147,            0.099762,             0.14321,            0.022238,             0.46411,             0.35453,             0.35042,             0.19022,            0.099331,             0.20812,             0.02882,            0.002773,            0.002773,            0.002773
                 148,             0.10002,             0.14447,             0.02229,              0.4645,              0.3547,             0.35051,             0.19051,            0.099327,             0.20811,            0.028822,           0.0027235,           0.0027235,           0.0027235
                 149,            0.099889,              0.1432,            0.022282,             0.46474,              0.3551,             0.35057,             0.19053,            0.099325,             0.20812,            0.028825,            0.002674,            0.002674,            0.002674
                 150,            0.099599,             0.14302,            0.022036,               0.467,             0.35383,             0.35067,             0.19065,            0.099324,             0.20817,            0.028823,           0.0026245,           0.0026245,           0.0026245
                 151,            0.099205,              0.1423,            0.022378,              0.4672,              0.3538,             0.35077,             0.19087,             0.09932,             0.20814,            0.028828,            0.002575,            0.002575,            0.002575
                 152,              0.0994,              0.1434,              0.0221,             0.46616,             0.35325,             0.35056,             0.19082,            0.099316,             0.20822,            0.028828,           0.0025255,           0.0025255,           0.0025255
                 153,            0.099552,              0.1418,            0.022153,             0.46671,             0.35414,              0.3507,             0.19077,            0.099312,             0.20819,            0.028829,            0.002476,            0.002476,            0.002476
                 154,            0.099539,             0.14214,            0.022097,              0.4661,             0.35416,              0.3506,             0.19077,            0.099311,             0.20825,            0.028831,           0.0024265,           0.0024265,           0.0024265
                 155,            0.099589,             0.14334,            0.022216,              0.4668,             0.35431,             0.35066,             0.19083,            0.099309,             0.20824,            0.028827,            0.002377,            0.002377,            0.002377
                 156,            0.099056,             0.14209,            0.022085,             0.46593,             0.35374,             0.35047,               0.191,            0.099311,             0.20831,            0.028831,           0.0023275,           0.0023275,           0.0023275
                 157,            0.099627,             0.14369,             0.02209,             0.46436,             0.35278,             0.35048,             0.19089,            0.099309,             0.20825,            0.028834,            0.002278,            0.002278,            0.002278
                 158,            0.099045,             0.14147,            0.021907,             0.46687,             0.35264,             0.35039,             0.19072,            0.099307,             0.20829,            0.028837,           0.0022285,           0.0022285,           0.0022285
                 159,            0.099306,             0.14193,            0.021923,             0.46541,             0.35348,             0.35096,             0.19082,            0.099303,             0.20826,             0.02884,            0.002179,            0.002179,            0.002179
                 160,            0.099573,             0.14158,            0.021912,             0.46528,             0.35324,             0.35049,             0.19074,              0.0993,             0.20837,             0.02884,           0.0021295,           0.0021295,           0.0021295
